title,link,company
New Graduate Software Developer,https://uk.linkedin.com/jobs/view/new-graduate-software-developer-at-de-kernwaarden-3523454900?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=MAygNTKSs5knH7X11hVS4w%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,De Kernwaarden
Trainee Web Developer,https://uk.linkedin.com/jobs/view/trainee-web-developer-at-nuyew-tech-academy-3527018076?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=cjcyXlgfoyeND%2F6EQRV1rQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Nuyew Tech Academy
Software Developer / Data Scientist,https://uk.linkedin.com/jobs/view/software-developer-data-scientist-at-university-of-strathclyde-3532092864?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=qGea5TpEE0BjKiXgCk691g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,University of Strathclyde
Junior Web/Software Developer,https://uk.linkedin.com/jobs/view/junior-web-software-developer-at-glasgow-2014-limited-3518046946?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=UWAgkwwv7ODs6x5RvbgyOA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Glasgow 2014 Limited
Junior Software Engineer,https://uk.linkedin.com/jobs/view/junior-software-engineer-at-contract-scotland-3540083449?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=QyboZ9KhaYOfDlYAHZZu9Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Contract Scotland
Software Developer,https://uk.linkedin.com/jobs/view/software-developer-at-lisle-corporation-3523408090?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=Qj52NwP%2Fq3652pIjBtD%2FBw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Lisle Corporation
Software Engineer,https://uk.linkedin.com/jobs/view/software-engineer-at-accentis-limited-3542174336?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=wavFTp00VzkkRAay%2BKXGlA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Accentis Limited
Java Developer (Contract),https://uk.linkedin.com/jobs/view/java-developer-contract-at-tamosoft-ltd-3552446035?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=wtZDaY8g3pvtnN8aMdV5Wg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,TamoSoft Ltd
Trainee Web Developer,https://uk.linkedin.com/jobs/view/trainee-web-developer-at-it-career-switch-3532836528?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=1kSwo1WyWNDo6u06Iqr%2Bqg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,IT Career Switch
Software Developer (Platform Engineering),https://uk.linkedin.com/jobs/view/software-developer-platform-engineering-at-smarter-grid-solutions-3523294292?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=9VJ%2Bgx2QNu%2FnDMlrcUpkJA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Smarter Grid Solutions
Backend Engineer,https://uk.linkedin.com/jobs/view/backend-engineer-at-arceptive-3514324358?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=cvJvAvNdK49mrT01mwOs1g%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Arceptive
Frontend Engineer,https://uk.linkedin.com/jobs/view/frontend-engineer-at-arceptive-3505330472?refId=YmRqB3duwDKvXBQ%2Fa16ljw%3D%3D&trackingId=Fiyjq2p%2BBUZqzXC8e1xCrA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Arceptive
